UNITNO,LOCATION,TYPE,EASTING,NORTHING
84,BRADLEY NEW BRIDGE,Road Bridge,410590,536186
84.1,BRADLEY OLD BRIDGE,Road Bridge,410592,536221
85,BRANCEPETH BRIDGE,Road Bridge,422073,537777
87,BRIDGE INN BRIDGE,Road Bridge,410262,538395
88,BROADWOOD BRIDGE,Road Bridge,413318,545488
91,BROWNEY BRIDGE,Road Bridge,426665,538213
92,BROWNEY BURN BRIDGE,Road Bridge,413506,545190
93,BURN CULVERT,Culvert,419300,535140
94,BURNFOOT BRIDGE,Road Bridge,388528,538115
100,BURTREEFORD BRIDGE,Road Bridge,385380,540534
101,BUTSFIELD NORTH BRIDGE,Road Bridge,409235,544888
102,BUTSFIELD SOUTH BRIDGE,Road Bridge,409373,544543
103,BUTSFIELD EAST BRIDGE,Road Bridge,411671,544811
105,BUTTERWICK BRIDGE,Road Bridge,437742,530689
106,BYERLEY HOUSE BRIDGE,Road Bridge,410493,544159
112,BLEACH HOUSE CULVERT,Culvert,435428,523218
120,CASTLE EDEN CULVERT,Culvert,444854,540407
123,CHAPMAN BRIDGE,Road Bridge,432071,540225
124,CHARE LANE BRIDGE,Road Bridge,434345,541099
125,CHESTER BURN NO.1 BRIDGE,Road Bridge,426771,551752
126,CHESTER BYPASS BRIDGE,Road Bridge,427807,551538
127,CHESTER DENE CULVERT,Culvert,427230,549710
129,CHESTER NEW BRIDGE,Road Bridge,428443,552283
130,CHESTER TOWN BRIDGE,Road Bridge,427433,551629
133,CLEATLAM BRIDGE,Road Bridge,412417,519853
135,COALFORD BRIDGE,Road Bridge,433349,543892
136,COALFORD LANE BRIDGE,Road Bridge,411366,543098
140,COCKEN FORD BRIDGE,Road Bridge,428055,547231
142,COMB NO.1 BRIDGE,Road Bridge,406016,548783
143,COMB NO.2 BRIDGE,Road Bridge,406040,548813
144,CONGBURN BRIDGE,Road Bridge,423477,549600
145,COPPER BRIDGE,Road Bridge,400426,534717
147,CORNFORTH MILL CULVERT,Culvert,431550,534788
148,CORONATION BRIDGE,Road Bridge,387243,538607
149,COUNDON CULVERT,Culvert,422967,530527
151,COWSHILL BRIDGE,Road Bridge,385587,540608
152,COWSLEY BRIDGE,Road Bridge,414768,541914
154,COXHOE FOUR MILE CULVERT,Culvert,431629,536434
155,COXHOE INN BRIDGE,Road Bridge,432703,534926
156,COXHOE RAILWAY BRIDGE,Road Bridge,432726,534915
159,CRIMDON CULVERT,Culvert,447807,537042
161,CROOK BRIDGE,Road Bridge,416696,535580
162,CROOK BURN BRIDGE,Road Bridge,378112,535797
164,CROW HOWLE BRIDGE,Road Bridge,410386,526377
165,CROXDALE BRIDGE,Road Bridge,426620,537837
166,CROXDALE ESTATE BRIDGE,Road Bridge,426620,537768
167,CUMMINGS BRIDGE,Road Bridge,418926,535349
168,CAUSEY GILL CULVERT,Culvert,420449,556009
169,CASTLE EDEN RAILWAY BRIDGE,Road Bridge,442266,537635
172,CROXDALE RAILWAY BRIDGE,Road Bridge,426705,537400
173,CLAYPATH BRIDGE,Road Bridge,427449,542601
181,DADDRYSHIELD NO.1 BRIDGE,Road Bridge,389571,538061
182,DADDRYSHIELD NO.2 BRIDGE,Road Bridge,389479,537920
183,DADDRYSHIELD NO.3 BRIDGE,Road Bridge,389475,537864
184,DALTON-LE-DALE BRIDGE,Road Bridge,440735,547897
188,DEADFRIARS BRIDGE,Road Bridge,396602,546427
189,DEERNESS BRIDGE,Road Bridge,422635,542099
192,DENE HOUSE BRIDGE,Road Bridge,409343,543526
194,DENTBURN BRIDGE,Road Bridge,421993,528401
199,DIAMOND BANK BRIDGE,Road Bridge,411054,525581
200,DIDDRIDGE BRIDGE,Road Bridge,413259,529953
202,DIRT PIT BRIDGE,Road Bridge,389110,529020
204,DRYBURN BRIDGE,Road Bridge,402159,536572
205,DUNLEY FORD BRIDGE,Road Bridge,413581,548007
207,DENEBURN BRIDGE,Road Bridge,408448,550388
217,EASTGATE BRIDGE,Road Bridge,395245,538741
218,EAST HETTON BRIDGE,Road Bridge,434275,536244
219,EAST HOWLE BRIDGE,Road Bridge,429551,533924
223,EDDYS BRIDGE,Road Bridge,403774,550878
224,EDEN VALE BRIDGE,Road Bridge,442657,537217
225,EDMONDBYERS BRIDGE,Road Bridge,401346,549647
226,EELS BECK BRIDGE,Road Bridge,411549,535629
227,EELS NOOK BRIDGE,Road Bridge,416459,533232
228,EGGLESBURN BRIDGE,Road Bridge,398868,523990
229,EGGLESHOPE GREAT BRIDGE,Road Bridge,398488,528756
230,EGGLESHOPE SMALL BRIDGE,Road Bridge,399134,529006
231,EGGLESTON BRIDGE,Road Bridge,399668,523227
232,EGGLESTON EAST BRIDGE,Road Bridge,400128,523513
233,EGGLESTON NORTH BRIDGE,Road Bridge,400179,523759
332,HEATHERY CLEUGH BRIDGE,Road Bridge,384507,541455
333,HEDRICK BRIDGE,Road Bridge,404989,521362
336,HERDSHIP BRIDGE,Road Bridge,381340,533723
339,HOLDFORTH BRIDGE,Road Bridge,434719,531378
340,HIGH FORGE BRIDGE,Road Bridge,422747,554209
342,HIGH REDBURN BRIDGE,Road Bridge,392547,543338
343,HINDON BRIDGE,Road Bridge,404983,524868
344,HISEHOPE BRIDGE,Road Bridge,404847,548443
345,HOGGERS GATE CULVERT,Culvert,430368,535455
346,HOLDFORTH RAILWAY BRIDGE,Road Bridge,434675,531436
347,HORDEN DENE CULVERT,Culvert,443949,543403
348,HORNDALE BRIDGE,Road Bridge,426949,525121
349,HORSE CLOSE LANE BRIDGE,Road Bridge,437558,534508
350,HORSLEY BRIDGE,Road Bridge,397501,538352
351,HORSLEYHOPE MILL BRIDGE,Road Bridge,406464,547382
354,HOUGHWELL BURN BRIDGE,Road Bridge,418873,553792
355,HOWDEN CULVERT,Culvert,428441,523317
356,HOWDEN-LE-WEAR BRIDGE,Road Bridge,416038,533376
357,HOWGILL BRIDGE (M-I-T),Road Bridge,393916,527460
358,HOWLEA BRIDGE,Road Bridge,411095,531958
360,HULAM BRIDGE,Road Bridge,416380,519838
361,HUMMERBECK BRIDGE,Road Bridge,418818,525446
362,HUNWICK BRIDGE,Road Bridge,418771,533333
363,HURWORTH BURN BRIDGE,Road Bridge,440767,533228
364,HUTS BRIDGE,Road Bridge,407819,528876
367,IRESHOPEBURN NO.2 BRIDGE,Road Bridge,386594,538668
368,INTAKE BRIDGE,Road Bridge,385005,530883
369,IRESHOPEBURN NO.1 BRIDGE,Road Bridge,386665,538708
370,HULERGILL BRIDGE,Road Bridge,395388,528642
377,JUBILEE BRIDGE,Road Bridge,420889,534330
386,KAYSBURN BRIDGE,Road Bridge,421504,545224
387,KAYSBURN CULVERT,Culvert,422285,545805
392,KILLHOPE BANK FOOT BRIDGE,Road Bridge,380832,543208
393,KILLHOPE MILL BRIDGE,Road Bridge,382459,543288
395,KNITSLEY BRIDGE,Road Bridge,411996,548212
